question,answer
"Kargom ne zaman teslim edilir?","Kargonuz, sipariş onayından sonra 3 iş günü içinde teslim edilir."
"Kargo takibini nasıl yapabilirim?","Kargo takip numaranız ile kargo firmamızın web sitesinden kargonuzun durumunu takip edebilirsiniz."
"Kargo ücretleri nasıl hesaplanır?","Kargo ücretleri paketinizin ağırlığı ve gönderim adresine göre değişiklik gösterir."
"Kargo teslim süresi ne kadardır?","Teslim süresi genellikle 2-5 iş günü arasında değişir."
"Kargo teslimatı yapılmazsa ne olur?","Teslimat gerçekleşmezse, kargonuz en yakın şubede 7 gün boyunca bekletilir ve size bilgi verilir."
"Kargo adrese teslim edilir mi?","Evet, kargolar genellikle belirtilen adrese teslim edilir."
"Kargo gönderim takibi için ne yapmalıyım?","Kargo takip numaranızı kullanarak kargo firmasının resmi web sitesinden güncel durumu kontrol edin."
"Kargo iptal işlemi nasıl yapılır?","Kargo iptali için müşteri hizmetlerimizle iletişime geçebilirsiniz."
"Kargo gecikirse ne yapmalıyım?","Gecikme durumunda müşteri hizmetlerimizle iletişime geçerek bilgi alabilirsiniz."
"Kargo hasar durumunda ne yapılmalıdır?","Hasarlı kargo teslim alındığında, derhal teslimatı yapan kuryeye durumu bildirip tutanak tutulmalıdır."
